xid	pm	zhan	kind
16	20	肿瘤医院	1
16	17	方庄环岛北	1
16	25	玉泉营桥北	2
16	24	大观园	2
16	7	大北窑南	2
16	6	光华桥南	2
16	5	呼家楼南	2
16	3	农业展览馆	2
16	31	燕莎桥南	1
16	2	新村	1
16	3	四合庄	1
16	4	花乡桥	1
16	9	双井桥南	2
16	10	劲松桥北	2
16	6	黄土岗	1
16	16	芳古园	1
16	23	右安门桥	2
16	23	劲松中街	1
16	24	劲松桥北	1
16	25	双井桥南	1
16	26	双井桥北	1
16	27	大北窑北	1
16	28	呼家楼北	1
16	29	白家庄	1
16	30	农业展览馆	1
16	22	右安门东	2
16	21	陶然亭公园南门	2
16	19	永定门东	2
16	17	蒲黄榆	2
16	16	芳古园	2
16	15	芳城园	2
16	14	左安门外	2
16	13	肿瘤医院	2
16	12	光明桥东	2
16	11	劲松中街	2
16	8	双井桥北	2
16	4	白家庄	2
16	2	亮马桥	2
16	1	燕莎桥南	2
16	22	光明桥东	1
16	19	左安门外	1
16	18	芳城园	1
16	14	永定门东	1
16	13	陶然桥东	1
16	11	右安门东	1
16	9	大观园	1
16	7	玉泉营桥北	1
16	5	花乡桥东	1
16	1	造甲村东	1
16	26	马家楼桥北	2
16	27	黄土岗	2
16	28	花乡桥东	2
16	29	花乡桥	2
16	30	四合庄	2
16	31	新村	2
16	32	造甲村东	2
18	25	魏公村	1
18	24	中国农业科学院	1
18	19	中关园	1
18	20	中关村南	1
18	21	海淀黄庄北	1
18	29	北京体育大学	2
18	30	正白旗	2
18	38	百望家苑	2
18	36	梅园	2
18	35	中国农业大学西校区	2
18	19	人民大学	2
18	17	魏公村	2
18	16	中央民族大学	2
18	13	动物园	2
18	14	白石桥东	2
18	1	国防大学	1
18	27	清华附中	2
18	18	中国农业科学院	2
18	15	国家图书馆	2
18	8	阜成门北	2
18	9	车公庄西	2
18	10	三塔寺	2
18	11	二里沟东口	2
18	12	北京展览馆	2
18	2	黑山扈	1
18	3	百望山森林公园	1
18	26	圆明园东路	2
18	37	农大路北口	2
18	34	农大南路西口	2
18	33	厢黄旗	2
18	32	树村	2
18	31	树村东口	2
18	28	圆明园东门	2
18	25	清华大学西门	2
18	24	中关园北站	2
18	23	中关园	2
18	22	中关村南	2
18	21	海淀黄庄北	2
18	20	海淀黄庄南	2
18	28	白石桥东	1
18	29	动物园	1
18	30	北京展览馆	1
18	31	二里沟东口	1
18	32	三塔寺	1
18	33	车公庄西	1
18	34	阜成门北	1
18	35	北京儿童医院	1
18	36	复兴门南	1
18	37	长椿街路口东	1
18	38	宣武门东	1
18	39	和平门东	1
18	40	前门	1
18	1	前门	2
18	2	前门西	2
18	3	和平门东	2
18	4	宣武门东	2
18	5	长椿街路口西	2
18	6	复兴门南	2
18	7	北京儿童医院	2
18	5	农大路北口	1
18	6	梅园	1
18	7	中国农业大学西校区	1
18	8	农大南路西口	1
18	9	厢黄旗	1
18	10	树村	1
18	11	树村东口	1
18	12	正白旗	1
18	13	北京体育大学	1
18	14	圆明园东门	1
18	15	清华附中	1
18	16	圆明园东路	1
18	27	国家图书馆	1
18	26	中央民族大学	1
18	23	人民大学	1
18	22	海淀黄庄南	1
18	18	中关园北站	1
18	4	百望家苑	1
18	17	清华大学西门	1
18	39	百望山森林公园	2
18	40	黑山扈	2
18	41	国防大学	2
19	4	德内甘水桥	1
19	18	西华门	2
19	5	椿树馆街	2
19	2	德胜门南站	1
19	12	万明路	2
19	13	板章路	2
19	14	前门	2
19	20	牛街路口西	1
19	21	广安门内	1
19	26	菜户营桥	1
19	1	菜户营桥	2
19	6	鼓楼	1
19	10	北海	1
19	11	西华门	1
19	20	西板桥	2
19	25	德内甘水桥	2
19	23	鼓楼	2
19	2	菜户营桥东	2
19	7	广安门内	2
19	24	白纸坊桥北	1
19	17	虎坊桥路口西	1
19	3	果子市	1
19	10	果子巷	2
19	11	虎坊桥路口东	2
19	9	菜市口西	2
19	25	菜户营桥北	1
19	22	广安门南	1
19	18	果子巷	1
19	14	前门	1
19	12	南长街	1
19	26	果子市	2
19	15	煤市街南口	1
19	19	北海	2
19	27	德胜门	2
19	5	铸钟厂	1
19	24	铸钟厂	2
19	8	景山后街	1
19	22	地安门内	2
19	13	天安门广场西	1
19	17	南长街	2
19	16	天安门西	2
19	19	菜市口西	1
19	1	德胜门	1
19	3	菜户营桥北	2
19	7	地安门内	1
19	8	牛街路口西	2
19	9	西板桥	1
19	23	椿树馆街	1
19	4	白纸坊桥北	2
19	15	天安门广场东	2
19	16	板章路	1
19	21	景山后街	2
19	6	广安门南	2
21	10	永安路	1
21	14	天桥路口东	2
21	6	天坛北门	1
21	2	北京体育馆	1
21	3	北京体育馆西	1
21	19	湾子	1
21	16	广外关厢	1
21	16	天坛北门	2
21	12	永安路	2
21	17	达官营	1
21	18	广外甘石桥	1
21	14	牛街路口西	1
21	11	虎坊桥路口西	2
21	6	广外关厢	2
21	1	六里桥东	2
21	7	金鱼池	1
21	18	法华寺	2
21	4	法华寺	1
21	9	菜市口西	2
21	7	广安门内	2
21	15	广安门内	1
21	12	果子巷	1
21	20	莲花池	1
21	13	菜市口西	1
21	10	果子巷	2
21	5	达官营	2
21	13	友谊医院东	2
21	5	红桥路口西	1
21	9	友谊医院东	1
21	11	虎坊桥路口西	1
21	17	红桥路口西	2
21	3	湾子	2
21	19	北京体育馆西	2
21	8	牛街路口东	2
21	8	天桥路口东	1
21	21	六里桥东	1
21	2	莲花池	2
21	21	龙潭公园	2
21	1	龙潭公园	1
21	4	广外甘石桥	2
21	20	北京体育馆	2
21	15	金鱼池	2
23	27	定安路	2
23	3	赵公口桥南	1
23	13	佟麟阁路	2
23	12	虎坊桥路口南	1
23	13	琉璃厂	1
23	14	和平门外	1
23	15	宣武门东	1
23	8	白塔寺	2
23	2	西直门外	2
23	10	天桥	1
23	12	民族文化宫	2
23	28	刘家窑桥北	2
23	2	贾家花园	1
23	1	五间楼	1
23	9	丰盛胡同	2
23	10	辟才胡同	2
23	11	太平桥	2
23	15	西绒线胡同东	2
23	16	和平门内	2
23	17	和平门外	2
23	18	琉璃厂	2
23	19	虎坊桥路口南	2
23	20	友谊医院东	2
23	21	天桥	2
23	22	先农坛	2
23	23	永定门内	2
23	24	沙子口东	2
23	4	定安路	1
23	5	琉璃井	1
23	6	安乐林	1
23	25	安乐林	2
23	3	西直门内	2
23	4	新开胡同	2
23	30	五间楼	2
23	29	横七条	2
23	26	琉璃井	2
23	17	新文化街西口	1
23	18	太平桥	1
23	19	辟才胡同	1
23	20	丰盛胡同	1
23	21	白塔寺	1
23	22	报子胡同	1
23	23	祖家街	1
23	24	宝产胡同	1
23	25	新开胡同	1
23	26	西直门内	1
23	27	西直门外	1
23	28	动物园	1
23	14	西绒线胡同西	2
23	7	沙子口东	1
23	1	动物园	2
23	5	宝产胡同	2
23	6	祖家街	2
23	7	报子胡同	2
23	11	友谊医院东	1
23	9	先农坛	1
23	8	永定门内	1
23	16	长椿街路口北	1
24	1	前门	2
24	25	田何庄	2
24	22	前门	1
24	15	丰台北路	2
24	7	宣武门东	2
24	22	科丰桥北	2
24	12	丰台北路	1
24	2	田何庄	1
24	4	科丰桥南	1
24	5	科丰桥北	1
24	6	韩庄子南	1
24	7	看丹桥北	1
24	8	正阳桥北	1
24	11	七里庄	1
24	21	韩庄子南	2
24	13	六里桥南	2
24	10	湾子	2
24	4	大栅栏	2
24	16	莲花池	1
24	18	北大地	2
24	6	和平门东	2
24	26	世界公园	2
24	19	长椿街路口东	1
24	16	七里庄	2
24	14	西局	2
24	11	莲花池	2
24	1	世界公园	1
24	17	岔路口	2
24	9	达官营	2
24	18	达官营	1
24	2	花市路口南	2
24	21	和平门东	1
24	20	宣武门东	1
24	15	六里桥东	1
24	20	看丹桥	2
24	9	北大地	1
24	3	磁器口西	2
24	3	六圈	1
24	14	六里桥南	1
24	12	六里桥东	2
24	8	长椿街路口西	2
24	23	科丰桥南	2
24	10	岔路口	1
24	17	湾子	1
24	5	前门西	2
24	19	正阳桥北	2
24	13	西局	1
24	24	六圈	2
25	10	小市口	1
25	8	白桥大街	1
25	4	崇文门西	2
25	3	正义路	2
25	11	羊市口	1
25	2	龙潭湖	1
25	5	羊市口	2
25	5	幸福大街	1
25	14	前门东	1
25	15	前门	1
25	7	东花市大街	2
25	2	前门东	2
25	3	光明楼	1
25	4	北京体育馆	1
25	12	崇文门西	1
25	6	培新街	1
25	1	前门	2
25	13	正义路	1
25	7	安化楼	1
25	9	东花市大街	1
25	6	小市口	2
25	1	龙潭公园	1
25	8	白桥大街	2
25	9	安化楼	2
25	10	培新街	2
25	11	幸福大街	2
25	12	北京体育馆	2
25	13	光明楼	2
25	14	龙潭湖	2
25	15	龙潭公园	2
26	5	草桥	3
26	18	呼家楼北	3
26	19	白家庄	3
26	20	亮马桥	3
26	24	和平东桥	3
26	25	和平西桥	3
26	26	安贞桥东	3
26	27	安贞桥西	3
26	28	安华桥西	3
26	29	马甸桥东	3
26	30	北太平桥西	3
26	31	蓟门桥西	3
26	32	大钟寺	3
26	33	四通桥东	3
26	13	华威桥南	3
26	17	大北窑北	3
26	16	双井桥北	3
26	14	潘家园桥北	3
26	15	劲松桥北	3
26	21	三元桥	3
26	34	三义庙	3
26	35	为公桥	3
26	36	万寿寺	3
26	37	紫竹桥南	3
26	38	花园桥南	3
26	1	城南嘉园北	3
26	41	公主坟南	3
26	42	六里桥北里	3
26	43	六里桥南	3
26	40	八一湖	3
26	4	欣园小区北	3
26	3	欣园小区东	3
26	2	嘉园三里北	3
26	39	航天桥南	3
26	6	洋桥西	3
26	7	木樨园桥西	3
26	8	木樨园桥东	3
26	23	西坝河	3
26	22	静安庄	3
26	9	刘家窑桥	3
26	10	方庄桥西	3
26	11	方庄桥东	3
26	12	十里河桥北	3
26	44	西局	3
26	45	丽泽桥	3
26	46	夏家胡同	3
26	47	玉泉营桥西	3
26	48	草桥	3
26	49	欣园小区北	3
26	50	欣园小区东	3
26	51	嘉园三里北	3
26	52	城南嘉园北	3
27	18	和平东桥	3
27	33	木樨园桥东	3
27	16	安贞桥东	3
27	15	安贞桥西	3
27	14	安华桥西	3
27	45	航天桥南	3
27	44	玉渊潭西门	3
27	43	公主坟南	3
27	42	六里桥北里	3
27	41	六里桥南	3
27	9	大钟寺	3
27	8	四通桥东	3
27	7	三义庙	3
27	6	为公桥	3
27	1	航天桥西	3
27	34	木樨园桥西	3
27	17	和平西桥	3
27	27	潘家园桥北	3
27	10	城铁大钟寺站	3
27	21	三元桥	3
27	20	静安庄	3
27	22	亮马桥	3
27	23	白家庄	3
27	25	双井桥北	3
27	46	航天桥西	3
27	26	劲松桥北	3
27	24	呼家楼南	3
27	13	马甸桥东	3
27	40	西局	3
27	39	丽泽桥	3
27	5	万寿寺	3
27	37	玉泉营桥西	3
27	2	航天桥北	3
27	38	夏家胡同	3
27	3	花园桥北	3
27	36	草桥	3
27	4	紫竹桥	3
27	35	洋桥西	3
27	11	蓟门桥西	3
27	32	刘家窑桥	3
27	31	方庄桥西	3
27	30	方庄桥东	3
27	29	十里河桥南	3
27	12	北太平桥西	3
27	28	十里河桥北	3
27	19	西坝河	3
30	20	光华桥南	2
30	2	莲花小区	2
30	25	金家村桥东	1
30	23	北京西站	1
30	7	长椿街路口东	2
30	8	宣武门西	2
30	9	和平门西	2
30	3	小庄路口北	1
30	1	金家村桥东	2
30	14	前门西	1
30	24	金台路	2
30	20	天宁寺桥西	1
30	7	永安里路口西	1
30	8	日坛路	1
30	9	北京站东	1
30	10	崇文门西	1
30	11	台基厂路口西	1
30	22	小庄路口北	2
30	15	北京供电局	1
30	24	莲花小区	1
30	6	天宁寺桥西	2
30	3	北京西站	2
30	6	大北窑西	1
30	10	北京供电局	2
30	11	前门西	2
30	12	前门东	2
30	13	正义路	2
30	14	台基厂路口西	2
30	15	崇文门西	2
30	16	北京站前街	2
30	17	日坛路	2
30	18	永安里路口西	2
30	12	正义路	1
30	13	前门东	1
30	1	金台路	1
30	2	水碓路口南	1
30	5	光华桥南	1
30	19	大北窑西	2
30	22	小马厂	1
30	21	呼家楼东	2
30	19	长椿街路口西	1
30	23	水碓路口南	2
30	16	和平门东	1
30	17	宣武门西	1
30	18	长椿街路口东	1
30	4	呼家楼南	1
30	4	小马厂	2
30	5	白云桥西	2
30	21	白云桥西	1
31	13	天安门西	2
31	14	天安门东	2
31	3	南樱桃园路口北	2
31	2	白纸坊路口西	2
31	15	王府井	2
31	17	北京站口西	2
31	10	民族文化宫	1
31	9	西单路口西	1
31	1	北京站东	1
31	2	东单路口东	1
31	3	王府井	1
31	4	南河沿	1
31	5	天安门东	1
31	6	天安门西	1
31	7	石碑胡同	1
31	8	六部口西	1
31	12	长椿街路口北	1
31	16	东单路口东	2
31	6	牛街	2
31	7	宣武医院	2
31	8	槐柏树街东口	2
31	20	南菜园	1
31	1	南菜园	2
31	16	牛街礼拜寺	1
31	17	牛街南口	1
31	18	南樱桃园路口北	1
31	19	白纸坊路口西	1
31	9	长椿街路口北	2
31	15	牛街	1
31	14	宣武医院	1
31	13	槐柏树街东口	1
31	18	北京站东	2
31	11	新文化街西口	1
31	4	牛街南口	2
31	5	牛街礼拜寺	2
31	10	新文化街西口	2
31	11	民族文化宫	2
31	12	西单路口东	2
32	4	观音堂	1
32	10	小海子	2
32	11	四根旗杆	2
32	3	王四营	1
32	1	孛罗营	1
32	5	启智学校	1
