id	busw
1321	摆站511路
1316	214夜班
1500	936支线[琉璃庙]
1318	535路
1317	215夜班
1281	645区间快车
1342	特8快车内环
1343	特8快车外环
1309	938区间
1312	916支线[大水峪]
1284	昌19路
1286	Y03路(原920环5路[妫川广场])
1287	昌61路
1406	916支线[西庄]
1407	919专线[森林公园]
1313	651路
1314	213夜班
1315	539路
1323	摆站352路
1324	摆站457路
1325	摆站522路
1492	H04路(原916支线[秦家东庄])
1184	935路[东段]
1527	郊90路[通州-凤河营]
1186	昌12路
1187	昌53路
1491	936支线[铁矿峪]
1199	H23路(原936支线[洞台])
1691	936支线[响水湖]
1193	房34路
1194	房19路
1198	H11路(原936支线[汤河口])
1690	936支线[狼虎哨]
1196	房26路
1510	892路[沿河城-向阳口](原929支线[沿河城-向阳口])
1201	昌57路
1202	昌58路
1204	昌59路
1207	平46路
1209	顺12路
1210	72路
1212	37区间
1398	936支线[碾子]
1218	机场快轨(L1)
1219	快速公交3区间
1319	538路
1320	536路
1504	地铁6号线(M6)[未运营]
1223	前门天街有轨电车游览线
1224	H13路(原936支线[莲花池])
1384	地铁8号线(M8)二期[未运营]
1328	摆站539路
1668	机场塘沽线
1327	摆站528路
1516	房32路
1517	房14路
1485	936支线[大地]
1486	936支线[上台子]
1487	936支线[项栅子]
1488	936支线[三道窝铺]
1489	936支线[七道梁]
1494	916支线[沙峪口]
1694	平48路
1496	916支线[罗山北]
1521	房43路
1535	M07路(原931路[贾沟])
1536	M06延长线(原977支线[香峪])
1502	936支线[庙上]
1498	936支线[二道关]
1329	摆站372路
1331	摆站311路
1332	摆站597路
1333	摆站441路
1334	摆站427路
1335	摆站445路
1336	摆站119路
1337	摆站540路
1339	摆站448路
1478	地铁房山线
1480	郊94路[怀柔-昌平]
1482	地铁昌平线
1483	密61路
1341	机场秦皇岛线
1611	936旅游专线
1347	616区间快车
1348	特8内环主路
1349	特8外环主路
1352	892路[炭厂](原929支线[炭厂])
1963	862外环(原916外环)
1354	Y12路(原925支2路[花盆-沙梁子])
1619	918快车[官庄道口]
1366	密25路
1367	临线102路
1368	Y13路(原925支2路[菜木沟-沙梁子])
1369	Y01路(原920环6路[农场-下营])
1370	Y15路(原920支2路[水库管理处-香营])
1372	Y16路(原925路[清泉铺-铁炉])
1373	Y11路(原925支2路[红旗甸-大石窑])
1385	地铁9号线(M9)[未运营]
1541	Y02路(原920班车[营城子])
1547	密12路
1383	877路(原919直达专线[八达岭])
1538	延6路(原920环4路[大柏老-西小庄科])
1529	昌18路
1514	943快车(跨省)
1394	H22路(原936支线[吉寺])
1395	H14路(原936支线[杏树台])
1396	H21路(原936支线[水长城])
1692	936支线[龙泉庄]
1397	H60路(原916支线[延庆])
1400	H12路(原936支线[梁根])
1401	936支线[孙栅子]
1403	916支线[通州]
1404	916支线[昌平]
1405	916支线[平谷]
1408	916支线[赵各庄]
1409	936支线[西栅子]
1412	916支线[胜利]
1413	916支线[红螺寺]
1415	936支线[郑栅子]
1416	936支线[田仙峪]
1417	H09路(原916支线[梭草])
1418	H19路(原916支线[峪口])
1419	916支线[上王峪]
1505	地铁亦庄线(L2)
1421	916支线[桃山]
1422	H10路(原916支线[肖两河])
1693	936支线[三岔]
1424	M01路(原929支线[马栏-洪水峪])
1426	M05路(原929路[岭角])
1427	M02路(原929支线[田寺])
1476	M08路(原929支线[洪水口])
1519	房40路
1431	936支线[帽山]
1432	936支线[北辛店]
1433	H24路(原936支线[兴隆城])
1434	936支线[小梁前]
1435	936支线[小龙潭]
1436	936支线[西道琉璃庙]
1522	房45路
1439	916支线[甘涧峪]
1440	916支线[耿辛庄]
1930	920环线延长线[干沟-三道沟]
1441	H03路(原916支线[小罗山])
1443	H06路(原916支线[安各庄])
1444	936支线[道德坑]
1445	936支线[胡营]
1446	936支线[喇叭沟门]
1455	密13路
1456	密16路
1457	密17路
1458	密18路
1459	密云黑山寺专线
1462	密26路
1463	密27路
1464	密28路
1465	密30路
1466	密31路
1467	密32路
1468	密33路
1469	密35路
1470	密36路
1471	郊82路[密云-平谷]
1472	密51路
1473	密39路
1474	密52路
1506	地铁7号线(M7)[未运营]
1507	地铁10号线(M10)二期[未运营]
1508	850快车(原915支2快车)
1546	888路(原925区间)
1548	密29路
1549	开发区1路
1550	开发区2路
1551	开发区3路
1552	开发区4路(环行)
1555	543路
1556	544路
1557	545路
1558	546路
1559	547路
1560	机场7线
1561	机场8线
1791	598区间
1591	世界文化遗产游C线
1831	844区间(原937支4区间)
1590	世界文化遗产游A线
1581	520路
1650	984专线
1832	530路(原957支2路)(停驶)
1582	562路
1584	地铁14号线(M14)[未运营]
1585	地铁15号线(M15)二期[未运营]
1586	房36区间
1565	865路(原984支线)
1842	房49路
1567	霍营夜班线
1580	384区间
1568	昌68路
1570	摆站523路
1571	摆站374路
1572	摆站645路
1663	空港1路[3号航站楼]
1573	摆站506路
1574	摆站495路
1575	摆站316路
1592	市内观光游精选一线
1593	特色专线A线
1594	市内观光游精选二线
1595	市内观光游精选三线
1596	京城水系一日游
1597	世界文化遗产游B线[暂停发车]
1598	古崖居-松山原始森林公园精品游
1599	明皇宫-居庸关-定陵游览线
1600	周口店-十渡一日游
1601	市内观光游精选四线
1602	石林峡-金海湖一日游
1603	神堂峪-雁栖湖一日游
1604	清东陵文化遗产一日游
1605	慕田峪长城精华一日游
1606	白龙潭-雾灵山-司马台二日游
1607	龙庆峡山水精华一日游
1608	特色专线B线
1609	814路(跨省)(原930支1快车)
1612	机场9线
1613	901区间
1779	330快车
1796	890路[担礼](原981临线快车[担礼])
1704	883快车[道北](原919区间快车[道北])
1617	918路[马坊]
1620	930班车[电厂](跨省)
1621	930班车[紫竹园](跨省)
1699	643区间
1625	884路(原919支2路)
1626	快速公交3支线
1627	快速公交2支线
1640	顺42路
1641	顺35路
1642	顺36区间
1643	顺17区间[大洛泡]
1644	顺37路
1645	密1路
1929	875路(原920东环[龙庆峡-香营])
1647	昌51路
1648	密50路
1651	房46路
1652	昆玉段航线
1653	长河段航线
1654	南护段航线
1655	转河段航线
1657	916支线[峪沟]
1658	916西线
1660	849路(原943区间)(跨省)
1931	平4路
